name,line
Naruto," (Laughing) Give it up. (Shows the stone faces drawn on with different coloured paints.) You’re just bent, because you didn’t have the guts to do what I do. Do ya!? Losers! Wanabees! You’ll never catch me! (Laughs)"
Hiruzen," (Turns away from his writing) I hope you’re not bothering me with some trivia, and don’t tell me its Naruto again."
Ninja, Naseer Sabah
Ninja, is the best person on earth
Naruto, muah
Iruka," (In Naruto’s ear) Oh yeah, Naruto!?"
Naruto," Where’d you come from, Iruka Sensei!? What are you doing here?"
Iruka," (Points at Naruto) No, what are you doing here? You’re supposed to be in class."
Iruka," (Arms folded) I’m at the end of my rope, Naruto. You failed the graduation test last time, and the time before that. Tomorrow you’ve got another chance, and you’re messing up again! (Naruto humps, looking away. Iruka, angry, points at the class) Fine! Because you missed it, Naruto, everyone will review the Transformation Jutsu!"
Sakura," Alright, Sakura here. Let’s do it. Transform! (Smoke comes up around her, then disappears, revealing her transformation into Iruka.)"
Iruka, Transformed into me. Good.
Sakura," (Transforms back, excited) Yes! I did it! Yes!"
Inner Sakura," Yeah, I kicked butt!!"
Sakura, Yes!
Sakura," (Turns) Sasuke, did you see that? (Walks down the line)"
Iruka, Next. Sasuke Uchiha.
Iruka," Uh, good."
Iruka, Next. Naruto Uzumaki.
Shikamaru," This is a total waste of time, Naruto."
Ino, We always pay for your screw ups.
Naruto, Like I care.
Hinata, (Thinking) Naruto. Do your best.
Naruto," (Puts his hands together) Transform! (Smoke goes up around Naruto, then goes down a little, revealing a naked girl, the smoke covering certain spots, and blows a kiss)"
Iruka," Huh!? (Staring, shocked, knocked back)"
Naruto, Gotcha! That’s my Sexy Jutsu!
Iruka, (Yelling) Cut the stupid tricks! This is your last warning!
Naruto, This sucks. Loser.
Iruka,"(Arms crossed, sitting on top of the stone faces) You’re not going home till you’ve cleaned off every single drop of paint."
Naruto," (Stops scrubbing, looks up) So what? It’s not like there’s anyone waiting at home for me. (Goes back to scrubbing)"
Iruka, (Iruka looks down at Naruto) Naruto?
Naruto," (Looks up, eyes narrow and a pout on his face) What do you want now, Sensei?"
Iruka," Well, I was just thinking. Maybe after you clean this all up I can take you out for some ramen. The good stuff. What do you think? (Looks down at Naruto)"
Naruto, (Has a huge smile on his face. Beyond happy with that) Now that’s some serious motivation! I’ll have this clean in no time!
Iruka, Naruto?
Naruto, (Mouthful of noodles.) Mmmm...
Iruka," Why would you do that to the Hokage faces? I mean, you know who the Hokage are, don’t you?"
Naruto," Course I do. (Slurps more ramen. Then finishes the whole bowl, letting out a sigh afterwards.) Everybody knows. They were the greatest Shinobi of their time, right? The best of the best. Undefeated Ninja champs. (Naruto pictures the stone face of the Fourth Hokage, that he’d painted on)  And the Fourth Hokage’s the one who saved the village from the Nine-Tailed Fox. He was the most amazing."
Iruka, Then why did you...?
